date,advances,declines,unchanged,ad_diff,ad_line
20240422,662,228,64,434,50434.0
20240423,472,406,76,66,50500.0
20240424,612,273,69,339,50839.0
20240425,361,491,102,-130,50709.0
20240426,461,409,83,52,50761.0
20240429,719,167,67,552,51313.0
20240430,442,410,101,32,51345.0
20240502,359,516,78,-157,51188.0
20240503,394,478,81,-84,51104.0
20240507,585,286,82,299,51403.0
20240508,577,283,94,294,51697.0
20240509,355,536,63,-181,51516.0
20240510,493,366,95,127,51643.0
20240513,381,485,87,-104,51539.0
20240514,527,344,82,183,51722.0
20240516,534,347,72,187,51909.0
20240517,307,577,69,-270,51639.0
20240520,405,476,72,-71,51568.0
20240521,292,588,73,-296,51272.0
20240522,402,478,73,-76,51196.0
20240523,349,534,70,-185,51011.0
20240524,264,621,68,-357,50654.0
20240527,425,443,85,-18,50636.0
20240528,406,467,80,-61,50575.0
20240529,220,676,57,-456,50119.0
20240530,199,683,71,-484,49635.0
20240531,534,335,84,199,49834.0
20240603,637,249,67,388,50222.0
20240604,228,645,80,-417,49805.0
20240605,421,444,88,-23,49782.0
20240607,463,402,88,61,49843.0
20240610,379,500,74,-121,49722.0
20240611,351,513,89,-162,49560.0
20240612,502,375,76,127,49687.0
20240613,396,464,93,-68,49619.0
20240614,395,486,72,-91,49528.0
20240617,362,524,67,-162,49366.0
20240618,378,499,76,-121,49245.0
20240619,342,539,72,-197,49048.0
20240620,499,371,83,128,49176.0
20240621,297,581,75,-284,48892.0
20240624,235,640,79,-405,48487.0
20240625,497,375,82,122,48609.0
20240626,355,515,84,-160,48449.0
20240627,264,622,68,-358,48091.0
20240628,581,296,77,285,48376.0
20240701,381,495,79,-114,48262.0
20240702,197,694,64,-497,47765.0
20240703,271,589,95,-318,47447.0
20240704,486,389,80,97,47544.0
20240705,400,463,92,-63,47481.0
20240708,519,348,88,171,47652.0
20240709,455,409,90,46,47698.0
20240710,426,434,94,-8,47690.0
20240711,442,415,98,27,47717.0
20240712,428,433,94,-5,47712.0
20240715,495,382,78,113,47825.0
20240716,359,500,96,-141,47684.0
20240717,412,462,81,-50,47634.0
20240718,277,605,73,-328,47306.0
20240719,305,575,75,-270,47036.0
20240722,212,676,67,-464,46572.0
20240723,367,497,91,-130,46442.0
20240724,370,491,94,-121,46321.0
20240725,160,732,63,-572,45749.0
20240726,596,289,70,307,46056.0
20240729,636,246,75,390,46446.0
20240730,227,667,63,-440,46006.0
20240731,589,304,64,285,46291.0
20240801,633,251,73,382,46673.0
20240802,60,871,26,-811,45862.0
20240805,10,924,23,-914,44948.0
20240806,856,73,28,783,45731.0
20240807,730,176,51,554,46285.0
20240808,424,468,65,-44,46241.0
20240809,703,202,52,501,46742.0
20240812,677,204,76,473,47215.0
20240813,325,563,69,-238,46977.0
20240814,652,236,69,416,47393.0
20240816,476,414,67,62,47455.0
20240819,349,535,74,-186,47269.0
20240820,649,245,64,404,47673.0
20240821,409,450,99,-41,47632.0
20240822,285,599,74,-314,47318.0
20240823,429,432,97,-3,47315.0
20240826,378,509,71,-131,47184.0
20240827,437,424,97,13,47197.0
20240828,260,628,70,-368,46829.0
20240829,283,592,83,-309,46520.0
20240830,583,293,82,290,46810.0
20240902,327,536,95,-209,46601.0
20240903,458,420,80,38,46639.0
20240904,52,862,44,-810,45829.0
20240905,358,523,77,-165,45664.0
20240906,138,764,56,-626,45038.0
20240909,504,374,80,130,45168.0
20240910,343,535,80,-192,44976.0
20240911,345,528,85,-183,44793.0
20240912,766,127,65,639,45432.0
20240913,602,271,85,331,45763.0
20240919,498,373,87,125,45888.0
20240920,567,319,72,248,46136.0
20240923,437,451,70,-14,46122.0
20240924,608,265,85,343,46465.0
20240925,357,518,83,-161,46304.0
20240926,750,141,67,609,46913.0
20240927,417,459,83,-42,46871.0
20240930,182,711,66,-529,46342.0
20241002,181,706,72,-525,45817.0
20241004,464,414,81,50,45867.0
20241007,621,261,77,360,46227.0
20241008,306,572,80,-266,45961.0
20241010,442,428,88,14,45975.0
20241011,369,489,100,-120,45855.0
20241014,487,398,73,89,45944.0
20241015,419,448,91,-29,45915.0
20241016,324,555,79,-231,45684.0
20241017,359,515,84,-156,45528.0
20241018,269,592,97,-323,45205.0
20241021,436,429,93,7,45212.0
20241022,196,692,70,-496,44716.0
20241023,450,411,97,39,44755.0
20241024,257,617,84,-360,44395.0
20241025,260,620,78,-360,44035.0
20241028,617,274,67,343,44378.0
20241029,409,445,104,-36,44342.0
20241030,352,516,90,-164,44178.0
20241031,473,405,80,68,44246.0
20241101,290,601,67,-311,43935.0
20241104,622,256,80,366,44301.0
20241105,515,359,84,156,44457.0
20241106,325,556,78,-231,44226.0
20241107,355,513,91,-158,44068.0
20241108,391,470,98,-79,43989.0
20241111,187,730,42,-543,43446.0
20241112,121,791,47,-670,42776.0
20241113,107,803,49,-696,42080.0
20241114,430,452,77,-22,42058.0
20241115,508,391,60,117,42175.0
20241118,617,284,58,333,42508.0
20241119,460,412,87,48,42556.0
20241120,437,422,100,15,42571.0
20241121,394,479,86,-85,42486.0
20241122,518,357,84,161,42647.0
20241125,611,285,63,326,42973.0
20241126,487,391,81,96,43069.0
20241127,375,518,66,-143,42926.0
20241128,517,363,79,154,43080.0
20241129,171,727,62,-556,42524.0
20241202,217,678,65,-461,42063.0
20241203,735,166,59,569,42632.0
20241204,176,737,47,-561,42071.0
20241205,177,727,56,-550,41521.0
20241206,250,660,50,-410,41111.0
20241209,60,870,29,-810,40301.0
20241210,878,48,33,830,41131.0
20241211,812,102,45,710,41841.0
20241212,618,280,61,338,42179.0
20241213,635,255,69,380,42559.0
20241216,491,398,71,93,42652.0
20241217,386,496,78,-110,42542.0
20241218,583,306,71,277,42819.0
20241219,214,684,62,-470,42349.0
20241220,205,707,48,-502,41847.0
20241223,719,188,54,531,42378.0
20241224,392,485,84,-93,42285.0
20241226,302,592,67,-290,41995.0
20241227,115,808,38,-693,41302.0
20241230,444,443,74,1,41303.0
20250102,455,427,79,28,41331.0
20250103,691,206,64,485,41816.0
20250106,630,259,72,371,42187.0
20250107,446,428,87,18,42205.0
20250108,460,411,90,49,42254.0
20250109,364,521,76,-157,42097.0
20250110,463,410,88,53,42150.0
20250113,262,640,59,-378,41772.0
20250114,513,364,84,149,41921.0
20250115,270,597,94,-327,41594.0
20250116,600,281,80,319,41913.0
20250117,435,448,78,-13,41900.0
20250120,389,491,81,-102,41798.0
20250121,388,487,86,-99,41699.0
20250122,403,483,75,-80,41619.0
20250123,191,700,70,-509,41110.0
20250124,545,323,93,222,41332.0
20250131,335,563,63,-228,41104.0
20250203,96,825,40,-729,40375.0
20250204,693,209,59,484,40859.0
20250205,590,303,69,287,41146.0
20250206,599,282,81,317,41463.0
20250207,291,601,70,-310,41153.0
20250210,416,458,88,-42,41111.0
20250211,472,410,80,62,41173.0
20250212,333,555,74,-222,40951.0
20250213,573,312,77,261,41212.0
20250214,498,367,97,131,41343.0
20250217,620,267,75,353,41696.0
20250218,480,398,84,82,41778.0
20250219,575,306,81,269,42047.0
20250220,452,417,93,35,42082.0
20250221,510,371,81,139,42221.0
20250224,451,423,87,28,42249.0
20250225,360,530,71,-170,42079.0
20250226,545,337,79,208,42287.0
20250227,322,566,73,-244,42043.0
20250228,95,836,30,-741,41302.0
20250304,311,594,56,-283,41019.0
20250305,716,180,65,536,41555.0
20250306,486,395,80,91,41646.0
20250307,351,542,68,-191,41455.0
20250310,408,469,84,-61,41394.0
20250311,181,733,47,-552,40842.0
20250312,511,354,96,157,40999.0
20250313,333,540,88,-207,40792.0
20250314,510,359,93,151,40943.0
20250317,530,358,75,172,41115.0
20250318,436,433,94,3,41118.0
20250319,506,371,86,135,41253.0
20250320,334,545,84,-211,41042.0
20250321,317,566,80,-249,40793.0
20250324,406,463,94,-57,40736.0
20250325,305,579,79,-274,40462.0
20250326,458,417,88,41,40503.0
20250327,282,611,70,-329,40174.0
20250328,170,730,63,-560,39614.0
20250331,88,826,49,-738,38876.0
20250401,716,182,64,534,39410.0
20250402,276,595,91,-319,39091.0
20250403,277,609,76,-332,38759.0
20250404,562,330,70,232,38991.0
20250407,68,866,28,-798,38193.0
20250408,548,343,71,205,38398.0
20250409,145,762,55,-617,37781.0
20250410,877,47,38,830,38611.0
20250411,537,343,82,194,38805.0
20250414,637,255,70,382,39187.0
20250415,709,181,72,528,39715.0
20250416,302,577,83,-275,39440.0
20250417,641,225,96,416,39856.0
20250418,621,248,93,373,40229.0
20250421,500,373,89,127,40356.0
20250422,462,416,84,46,40402.0
20250423,629,255,78,374,40776.0
20250424,404,458,100,-54,40722.0
20250425,647,239,76,408,41130.0
20250428,367,522,73,-155,40975.0
20250429,660,238,64,422,41397.0
20250430,345,551,66,-206,41191.0
20250502,420,452,90,-32,41159.0
20250507,461,417,84,44,41203.0
20250508,532,341,89,191,41394.0
20250509,353,539,70,-186,41208.0
20250512,661,240,61,421,41629.0
20250513,452,420,90,32,41661.0
20250514,590,293,79,297,41958.0
20250515,298,593,71,-295,41663.0
20250516,316,581,65,-265,41398.0
20250519,240,646,76,-406,40992.0
20250520,554,337,71,217,41209.0
20250521,540,335,87,205,41414.0
20250522,258,635,70,-377,41037.0
20250523,494,398,71,96,41133.0
20250526,637,260,66,377,41510.0
20250527,361,517,84,-156,41354.0
20250528,579,312,71,267,41621.0
20250529,751,153,58,598,42219.0
20250530,396,489,77,-93,42126.0
20250602,371,525,66,-154,41972.0
20250604,800,120,42,680,42652.0
20250605,572,314,76,258,42910.0
20250609,700,204,58,496,43406.0
20250610,431,463,68,-32,43374.0
20250611,601,284,77,317,43691.0
20250612,521,375,66,146,43837.0
20250613,150,766,46,-616,43221.0
20250616,621,280,61,341,43562.0
20250617,324,564,74,-240,43322.0
20250618,428,458,76,-30,43292.0
20250619,432,443,87,-11,43281.0
20250620,489,391,82,98,43379.0
20250623,267,647,48,-380,42999.0
20250624,767,139,56,628,43627.0
20250625,468,422,72,46,43673.0
20250626,181,727,54,-546,43127.0
20250627,247,661,54,-414,42713.0
20250630,489,398,75,91,42804.0
20250701,709,185,68,524,43328.0
20250702,454,433,75,21,43349.0
20250703,610,283,69,327,43676.0
20250704,161,741,60,-580,43096.0
20250707,429,461,72,-32,43064.0
20250708,645,241,76,404,43468.0
20250709,701,199,62,502,43970.0
20250710,599,289,75,310,44280.0
20250711,476,411,76,65,44345.0
20250714,530,363,70,167,44512.0
20250715,365,513,84,-148,44364.0
20250716,191,706,65,-515,43849.0
20250717,391,473,98,-82,43767.0
20250718,305,591,66,-286,43481.0
20250721,391,491,80,-100,43381.0
20250722,210,687,65,-477,42904.0
20250723,391,500,71,-109,42795.0
20250724,193,709,60,-516,42279.0
20250725,374,504,84,-130,42149.0
20250728,180,725,57,-545,41604.0
20250729,469,411,82,58,41662.0
20250730,476,408,78,68,41730.0
20250731,406,468,87,-62,41668.0
20250801,38,885,39,-847,40821.0
20250804,678,212,72,466,41287.0
20250805,687,190,85,497,41784.0
20250806,647,237,78,410,42194.0
20250807,459,409,94,50,42244.0
20250808,386,488,88,-102,42142.0
20250811,299,581,82,-282,41860.0
20250812,345,548,69,-203,41657.0
20250813,413,470,79,-57,41600.0
20250814,379,498,85,-119,41481.0
20250818,198,701,63,-503,40978.0
20250819,271,613,78,-342,40636.0
20250820,243,645,73,-402,40234.0
20250821,517,361,83,156,40390.0
20250822,462,412,87,50,40440.0
20250825,602,271,88,331,40771.0
20250826,322,543,96,-221,40550.0
20250827,336,523,102,-187,40363.0
20250828,483,383,95,100,40463.0
20250829,301,581,79,-280,40183.0
20250901,201,696,64,-495,39688.0
20250902,486,378,97,108,39796.0
20250903,503,371,87,132,39928.0
20250904,610,249,102,361,40289.0
20250905,451,404,106,47,40336.0
20250908,543,325,93,218,40554.0
20250909,590,289,82,301,40855.0
20250910,637,245,79,392,41247.0
20250911,463,406,91,57,41304.0
20250912,524,344,92,180,41484.0
20250915,483,399,78,84,41568.0
20250916,298,571,91,-273,41295.0
20250917,305,567,88,-262,41033.0
20250918,591,264,105,327,41360.0
20250919,242,640,78,-398,40962.0
20250922,334,547,79,-213,40749.0
20250923,270,601,89,-331,40418.0
20250924,194,686,80,-492,39926.0
20250925,338,534,87,-196,39730.0
20250926,121,779,59,-658,39072.0
20250929,597,271,91,326,39398.0
20250930,281,585,92,-304,39094.0
20251001,387,477,95,-90,39004.0
20251002,586,297,76,289,39293.0
20251010,276,624,59,-348,38945.0
20251013,274,596,89,-322,38623.0
20251014,317,564,78,-247,38376.0
20251015,761,127,71,634,39010.0
20251016,492,391,76,101,39111.0
20251017,222,672,65,-450,38661.0
20251020,595,289,75,306,38967.0
20251021,370,498,91,-128,38839.0
20251022,637,249,73,388,39227.0
20251023,260,609,90,-349,38878.0
20251024,476,408,75,68,38946.0
20251027,562,322,74,240,39186.0
20251028,379,503,76,-124,39062.0
20251029,305,566,87,-261,38801.0
20251030,191,707,60,-516,38285.0
20251031,319,560,79,-241,38044.0
20251103,288,615,55,-327,37717.0
20251104,381,507,70,-126,37591.0
20251105,173,734,51,-561,37030.0
20251106,633,267,58,366,37396.0
20251107,212,679,67,-467,36929.0
20251110,807,99,52,708,37637.0
20251111,340,543,75,-203,37434.0
20251112,788,119,51,669,38103.0
20251113,477,385,96,92,38195.0
20251114,171,719,68,-548,37647.0
20251117,393,493,72,-100,37547.0
20251118,83,821,54,-738,36809.0
20251119,465,419,74,46,36855.0
20251120,751,141,66,610,37465.0
20251121,178,721,58,-543,36922.0
20251124,306,580,73,-274,36648.0
20251125,328,554,77,-226,36422.0
20251126,773,125,61,648,37070.0
20251127,391,483,85,-92,36978.0
20251128,595,282,81,313,37291.0
20251201,382,491,85,-109,37182.0
20251202,642,226,90,416,37598.0
20251203,656,228,74,428,38026.0
20251204,285,594,79,-309,37717.0
20251205,599,278,81,321,38038.0
20251208,315,553,90,-238,37800.0
20251209,401,476,81,-75,37725.0
20251210,283,593,82,-310,37415.0
20251211,551,327,80,224,37639.0
20251212,657,222,79,435,38074.0
20251215,351,532,75,-181,37893.0
20251216,185,716,57,-531,37362.0
20251217,534,343,81,191,37553.0
20251218,196,688,74,-492,37061.0
20251219,608,276,74,332,37393.0
20251222,536,342,80,194,37587.0
20251223,217,659,82,-442,37145.0
20251224,380,483,95,-103,37042.0
20251226,246,643,69,-397,36645.0
20251229,318,573,67,-255,36390.0
20251230,332,545,81,-213,36177.0
20260102,373,523,62,-150,36027.0
20260105,437,449,72,-12,36015.0
20260106,396,484,78,-88,35927.0
20260107,200,686,70,-486,35441.0
20260108,177,730,49,-553,34888.0
20260109,540,341,75,199,35087.0
20260112,531,350,75,181,35268.0
20260113,449,432,75,17,35285.0
20260114,559,336,61,223,35508.0
20260115,485,390,79,95,35603.0
20260116,374,507,73,-133,35470.0
20260119,398,489,67,-91,35379.0
20260120,670,228,56,442,35821.0
20260121,186,714,54,-528,35293.0
20260122,565,317,72,248,35541.0
20260123,681,212,61,469,36010.0
20260126,505,392,55,113,36123.0
20260127,411,475,65,-64,36059.0
20260128,432,441,78,-9,36050.0
20260129,581,286,84,295,36345.0
20260130,280,604,67,-324,36021.0
20260202,116,799,36,-683,35338.0
20260203,827,76,48,751,36089.0
20260204,751,156,44,595,36684.0
20260205,308,579,64,-271,36413.0
20260206,192,703,56,-511,35902.0
20260209,717,174,60,543,36445.0
20260210,691,209,51,482,36927.0
20260211,541,340,70,201,37128.0
20260212,618,274,58,344,37472.0
20260213,337,548,65,-211,37261.0
20260219,668,233,49,435,37696.0
20260220,546,341,63,205,37901.0
20260223,547,348,55,199,38100.0
20260224,408,467,75,-59,38041.0
20260225,448,435,67,13,38054.0
20260226,240,662,48,-422,37632.0
20260227,264,629,57,-365,37267.0
20260303,75,842,33,-767,36500.0
20260304,13,911,26,-898,35602.0
20260305,902,21,28,881,36483.0
20260306,526,362,63,164,36647.0
20260309,73,851,27,-778,35869.0
20260310,756,147,48,609,36478.0
20260311,703,200,48,503,36981.0
20260312,572,322,57,250,37231.0
20260313,338,554,59,-216,37015.0
20260316,250,646,55,-396,36619.0
20260317,631,259,61,372,36991.0
20260318,616,280,55,336,37327.0
20260319,206,680,65,-474,36853.0
20260320,745,159,47,586,37439.0
20260323,53,864,34,-811,36628.0
20260324,707,192,52,515,37143.0
20260325,719,166,66,553,37696.0
20260326,228,664,59,-436,37260.0
20260327,437,444,70,-7,37253.0
20260330,155,752,43,-597,36656.0
20260331,117,793,40,-676,35980.0
20260401,840,71,39,769,36749.0
20260402,91,817,42,-726,36023.0
20260403,666,226,58,440,36463.0
20260406,353,516,81,-163,36300.0
20260407,287,580,83,-293,36007.0
20260408,784,107,59,677,36684.0
20260409,357,511,82,-154,36530.0
20260410,719,164,67,555,37085.0
20260413,346,525,79,-179,36906.0
20260414,671,199,80,472,37378.0
20260415,571,276,103,295,37673.0
20260416,657,207,85,450,38123.0
20260417,466,390,93,76,38199.0
20260420,322,535,92,-213,37986.0
20260421,457,410,82,47,38033.0
20260422,398,466,85,-68,37965.0
